code,name,location,nirf2025,cutoffs,fees,accreditation,establishment,affiliation,placements,branches_current_year
JCER,"JNTUH College of Engineering, Rajanna Sircilla",not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JCMB,"JNTUH University College of Engineering, Mahabubabad",not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KLUN,KL University — Vijayawada (Guntur),not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GITM,GITAM University — Visakhapatnam,not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SRMA,"SRM University AP, Amaravati",not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VIGF,"Vignan's Foundation for Science, Technology & Research",not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,NIRF 2023-24 summary checked; headline not reverified,not reverified
GVPC,GVP College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VRSE,Siddhartha Academy of Higher Education (VR Siddhartha),not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GDLV,Gudlavalleru Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GMRI,GMR University (formerly GMRIT),not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
RVRJ,RVR & JC College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SRKR,SRKR Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BITS,"BITS Pilani, Hyderabad Campus",not reverified,no current rank asserted,not reverified,BITS FD 2026-27 checked,not reverified,not reverified,not reverified,not reverified,not reverified
IIIT,"International Institute of Information Technology, Hyderabad",not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ICFA,ICFAI Foundation for Higher Education (IFHE),not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MHND,Mahindra University,not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
WOXN,Woxsen University,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MRDU,Malla Reddy University,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SRUN,SR University,not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SNDU,Sreenidhi University,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GNKU,Gurunanak University,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MNRU,MNR University,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AMRT,"Amrita Vishwa Vidyapeetham, Amaravati",not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AUDI,Audisankara Deemed to be University,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MITS,Madanapalle Institute of Technology & Science (MITS),not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VTAP,VIT-AP University,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CENT,"Centurion University of Technology and Management, AP",not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GITH,GITAM University — Hyderabad,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KLHD,KL University — Hyderabad,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GVPE,Gayathri Vidya Parishad College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GVPW,Gayathri Vidya Parishad College of Engineering for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PPSV,Prasad V Potluri Siddhartha Institute of Technology,not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VISW,Shri Vishnu Engineering College for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VITB,Vishnu Group of Instns Vishnu Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ADTP,Aditya University,not reverified,2025 listing checked,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GVPT,G V P College for Degree and PG Courses,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ANIL,Anil Neerukonda Institute of Technology and Sci,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GPRE,G P R Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
RAGU,Raghu Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
LBCE,Lakireddy Balireddy College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PRAG,Pragati Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NSPE,Narsaropeta Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VLIT,Vignans Lara Institute of Technology and Sci,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
TMLN,Tirumala Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VVIT,Vasireddy Venkatadri Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
LIET,Lendi Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PCEK,G.Pullaiah College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SEAT,Siddartha EDNL Academy Group of Instns,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
DNRE,DNR College of Engineering and Tech,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
RGIT,Rajiv Gandhi Memorial College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SWRN,Swarnandhra College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VGTN,Vikas Group of Institutions - Vijayawada Rural,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MTIE,Mother Theresa Institute of Engineering and Tech,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ANSN,St. Anns College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CHDL,Chadalawada Ramanamma Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PSCV,Potti Sriramulu College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
LIMT,Lingayas Institute of Management and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ASIP,Amrita Sai Institute of Science and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BVTS,Bonam Venkata Chalamaiah Institute of Tech and Sciences,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
TECH,Tadipatri Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MLEW,Malineni Lakshmaiah Womens Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ISTS,International School of Tech and Sci for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GIET,GIET Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ALIT,Andhra Loyola Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SSCC,Srinivasa Institute of Technology and Mang Studies,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ALTS,Anantha Lakshmi Institute of Technology and Sci,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SRIT,Srinivasa Ramanujan Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BVCE,B V Chalamaiah Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SVIK,Sri Venkateswara Institute of Science and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GVIC,Golden Valley Integrated Campus,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GITS,Gonna Institute of Info Technology Sciences,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SREC,Santhiram Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SRIN,Srinivasa Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SGEC,Sai Ganapathi Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AITK,Annamacharya Institute of Technology and Sciences — Kadapa,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AITS,Annamacharya University — Rajampeta,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MBUT,Mohan Babu University (MBU),not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GGUR,Godavari Global University (GGU),not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
APOL,The Apollo University,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BEST,BESTIU — Anantapur,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AITT,Annamacharya Institute of Technology and Sciences — Tirupati,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
QISE,QIS College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ADIT,Aditya Institute of Technology and Management,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MVRG,M V G R College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GIER,Godavari Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KSRM,K S R M College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VSMR,V.S.M College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SDTN,Siddharth Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SANK,Audhisankara College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
RCEE,Ramachandra College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GTNN,Geethanjali Institute of Science and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NRIA,Dr. RVR NRI Institute of Technology (NRI Deemed University),not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CRRE,Sir C R R College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VIEW,Vignans Institute of Engineering for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SIST,Siddhartha Institute of Sci and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
DIET,Dadi Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
DLBC,Dr L Bullayya College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KVSR,Dr.K.V.Subba Reddy Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SRKI,S R K Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SVCN,Sree Venkateswara College of Engg,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MPLW,Sri Mittapalli iNst of Technology for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ABRK,ABR College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
RIET,Rajamahendri Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SVPP,Sri Venkatesa Perumal College of Engineering and Tech,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KHIT,Kallam Haranadh Reddy Institute of Tech,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
RPRA,Rise Krishna Sai Prakasam Group of Institutions,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ACEE,Adarsh College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AMRN,A.M.Reddy Memorial College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ASTC,Avanthis St Theressa Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ASVR,SVR Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BABA,Baba Institute of Tech and Sciences,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BEMA,Bheema Institute of Technology and Sci,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BRNK,Brindavan Institute of Technology and Sci,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BVCR,BVC Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BVRM,Bhimavaram Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BVSR,BVSR Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
BWEC,Bapatla Womens Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CECC,Chirala Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CHBR,Chebrolu Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CHKN,Chaitanya Institute of Sciences and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CIET,Chalapathi Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CITY,Chalapathi Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CVRT,Sir C.V Raman Institute of Technology Sciences,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
DHAN,Dhanekula Institute of Engineering Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
DJRC,Sri Chaitanya DJR College of Engineering and Tech,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
DSIT,D.B.S.Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ESWR,Eswar College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GDMM,G.D.M.M. College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GECG,Guntur Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GLIM,A1 Global Institute of Engineering Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GTMW,Gouthami Institute of Technology Management for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
HITE,Helapuri Institute of Tech and Science,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
IDEL,Ideal Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
IITM,Indira Institute of Technology Sci,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JGNN,Jagans College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
JONY,St. Johns College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KCIT,Krishna Chaitanya Institute of Technology and Sciences,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KECW,Krishnaveni Engineering College for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KLMW,K.Lakshumma Memorial College of Engineering for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KMMT,KMM Institute of Technology and Science,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KORK,Kandula Obul Reddy Memorial College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KUPM,Kuppam Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
LENO,Lenora College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MICT,DVR and Dr.HS MIC College of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MIET,Mandava Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MJRT,MJR College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MRCL,Miracle EDNL Soc Group of Instns,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NEWS,Newtons Institute of Sci and Tech,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NEWT,Newton Institute of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NIST,Narayanadri Institute of Sci Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NMRE,Nimra College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NRIT,NRI Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NSRT,Nadimpalli Satyanarayana Raju Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PIIT,Priyadarshini Institute of Tech and Management,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PITT,Priyadarshini Institute of Technology and Sciences,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PITW,Priyadarshini Institute of Tech and Sciences for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PKSK,Prakasam Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PPDV,Paladugu Parvathi Devi College of Engineering and Tech,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PREC,Dr Paul Rajs Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PVKK,P.V.K.K. Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
PYDE,Pydah College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
QUBA,Quba College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
RAVW,Ravindra College of Engineering for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
RGAN,Rise Krishna Sai Gandhi Group of Institutions,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
RKCE,R.K.College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
RSRN,Ramireddy Subba Ramireddy Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SGIT,Dr Samuel George Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SGVP,Satya Institute of Technology and Management,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SIMH,Simhadri EDNL Soc Group of Instns,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SMGG,St.Marys Group of Institutions,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SRTS,Srinivasa Institute of Technology and Science,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SSSE,Sanskrithi School of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
STMV,Sankethika Institute of Technology Management,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
SVHE,D M S S V H College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
UNIV,Universal College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
URCE,Usha Rama College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VEMU,Vemu Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VETS,SR Venkateswara College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VISM,Viswam Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VITW,Vijaya Institute of Technology for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VNRC,Velaga Nagesware Rao College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VSPT,Visakha Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VVGV,VKR VNB and AGK Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
WISE,West Godavari Institute of Science and Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
WSTM,Wellfare Institute of Science Tech and Management,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
ASNW,ASN Womens Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
AIET,Amara Institute of Engineering & Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
CECG,Chintalapudi Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
DBIT,Don Bosco Institute of Technology & Science,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
EVMN,EVM College of Engineering & Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GVRW,GVR and S College of Engineering for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
GVRS,GVR and S College of Engineering & Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
HMKS,Haji Mohammed Kashim Saheb College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
HIND,Hindu College of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
KKRS,KKR and KSR Institute of Technology and Sciences,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
LOYL,Loyola Institute of Technology and Management,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
STEN,Sai Tirumala NVR Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
MPLG,Sri Mittapalli College of Engineering,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
STMW,St Marys Womens Engineering College,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
VNIW,Vignans Nirula Institute of Technology and Sciences for Women,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NLND,Nalanda Institute of Engineering and Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
NITN,Narsaraopet Institute of Technology,not reverified,no current rank asserted,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified,not reverified
